seleção,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,ALG,Algeria,CAF,https://countryflagsapi.com/png/algeria
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,ANT,Angola,CAF,https://countryflagsapi.com/png/angola
Argentina,18.0,2.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,9.0,15.0,13.0,15.0,5.0,8.0,10.0,2.0,12.0,10.0,15.0,6.0,3.0,ARG,Argentina,CONMEBOL,https://countryflagsapi.com/png/argentina
Australia,18.0,2.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,9.0,15.0,13.0,15.0,5.0,8.0,10.0,2.0,17.0,13.0,18.0,8.0,5.0,AUS,Australia,OFC,https://countryflagsapi.com/png/australia
Austria,18.0,9.0,0.0,0.0,17.0,7.0,2.0,4.0,0.0,9.0,22.0,18.0,15.0,7.0,8.0,13.0,2.0,17.0,13.0,18.0,8.0,5.0,AUT,Austria,UEFA,https://countryflagsapi.com/png/austria
Belgium,18.0,11.0,1.0,0.0,22.0,7.0,2.0,4.0,4.0,9.0,22.0,21.0,27.0,13.0,12.0,16.0,8.0,17.0,13.0,24.0,24.0,6.0,BEL,Belgium,UEFA,https://countryflagsapi.com/png/belgium
Bolivia,18.0,11.0,1.0,0.0,22.0,7.0,2.0,4.0,4.0,9.0,22.0,21.0,27.0,13.0,13.0,16.0,8.0,17.0,13.0,24.0,24.0,6.0,BOL,Bolivia,CONMEBOL,https://countryflagsapi.com/png/bolivia
Bosnia and Herzegovina,18.0,11.0,1.0,0.0,22.0,7.0,2.0,4.0,4.0,9.0,22.0,21.0,27.0,13.0,13.0,16.0,8.0,17.0,13.0,28.0,24.0,6.0,BIH,Bosnia and Herzegovina,UEFA,https://countryflagsapi.com/png/bosnia%20and%20herzegovina
Brazil,23.0,12.0,15.0,22.0,30.0,23.0,16.0,8.0,23.0,15.0,32.0,36.0,37.0,17.0,24.0,30.0,26.0,27.0,22.0,39.0,32.0,8.0,BRA,Brazil,CONMEBOL,https://countryflagsapi.com/png/brazil
Bulgaria,23.0,12.0,15.0,22.0,30.0,23.0,17.0,9.0,28.0,17.0,32.0,36.0,39.0,17.0,34.0,31.0,26.0,27.0,22.0,39.0,32.0,8.0,BUL,Bulgaria,UEFA,https://countryflagsapi.com/png/bulgaria
Cameroon,23.0,12.0,15.0,22.0,30.0,23.0,17.0,9.0,28.0,17.0,32.0,37.0,39.0,24.0,37.0,33.0,28.0,27.0,24.0,40.0,32.0,8.0,CMR,Cameroon,CAF,https://countryflagsapi.com/png/cameroon
Canada,23.0,12.0,15.0,22.0,30.0,23.0,17.0,9.0,28.0,17.0,32.0,37.0,39.0,24.0,37.0,33.0,28.0,27.0,24.0,40.0,32.0,9.0,CAN,Canada,CONCACF,https://countryflagsapi.com/png/canada
Chile,28.0,12.0,15.0,27.0,30.0,23.0,27.0,11.0,28.0,18.0,32.0,40.0,39.0,24.0,37.0,38.0,28.0,27.0,27.0,46.0,32.0,9.0,CHI,Chile,CONMEBOL,https://countryflagsapi.com/png/chile
China PR,28.0,12.0,15.0,27.0,30.0,23.0,27.0,11.0,28.0,18.0,32.0,40.0,39.0,24.0,37.0,38.0,28.0,27.0,27.0,46.0,32.0,9.0,,,,
Colombia,28.0,12.0,15.0,27.0,30.0,23.0,32.0,11.0,28.0,18.0,32.0,40.0,39.0,28.0,41.0,39.0,28.0,27.0,27.0,58.0,38.0,9.0,COL,Colombia,CONMEBOL,https://countryflagsapi.com/png/colombia
Costa Rica,28.0,12.0,15.0,27.0,30.0,23.0,32.0,11.0,28.0,18.0,32.0,40.0,39.0,32.0,41.0,39.0,33.0,30.0,27.0,63.0,40.0,10.0,CRC,Costa Rica,CONCACF,https://countryflagsapi.com/png/costa%20rica
Croatia,28.0,12.0,15.0,27.0,30.0,23.0,32.0,11.0,28.0,18.0,32.0,40.0,39.0,32.0,41.0,50.0,35.0,32.0,27.0,69.0,54.0,14.0,CRO,Croatia,UEFA,https://countryflagsapi.com/png/croatia
Cuba,28.0,12.0,20.0,27.0,30.0,23.0,32.0,11.0,28.0,18.0,32.0,40.0,39.0,32.0,41.0,50.0,35.0,32.0,27.0,69.0,54.0,14.0,CUB,Cuba,CONMEBOL,https://countryflagsapi.com/png/cuba
Czech Republic,28.0,12.0,20.0,27.0,30.0,23.0,32.0,11.0,28.0,18.0,32.0,40.0,39.0,32.0,41.0,50.0,35.0,35.0,27.0,69.0,54.0,14.0,CZE,Czech Republic,UEFA,https://countryflagsapi.com/png/czech%20republic
Czechoslovakia,28.0,21.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,42.0,39.0,42.0,41.0,50.0,35.0,35.0,27.0,69.0,54.0,14.0,,,,
DR Congo,28.0,21.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,42.0,39.0,42.0,41.0,50.0,35.0,35.0,27.0,69.0,54.0,14.0,,,,
Denmark,28.0,21.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,42.0,49.0,42.0,41.0,59.0,40.0,35.0,30.0,69.0,57.0,15.0,DEN,Denmark,UEFA,https://countryflagsapi.com/png/denmark
Ecuador,28.0,21.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,42.0,49.0,42.0,41.0,59.0,42.0,40.0,30.0,72.0,57.0,18.0,ECU,Ecuador,CONMEBOL,https://countryflagsapi.com/png/ecuador
Egypt,28.0,23.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,42.0,49.0,43.0,41.0,59.0,42.0,40.0,30.0,72.0,59.0,18.0,EGY,Egypt,CAF,https://countryflagsapi.com/png/egypt
El Salvador,28.0,23.0,25.0,27.0,30.0,32.0,39.0,11.0,30.0,18.0,32.0,43.0,49.0,43.0,41.0,59.0,42.0,40.0,30.0,72.0,59.0,18.0,ESA,El Salvador,CONCACF,https://countryflagsapi.com/png/el%20salvador
England,28.0,23.0,25.0,29.0,38.0,36.0,44.0,22.0,34.0,18.0,32.0,49.0,56.0,51.0,41.0,66.0,48.0,46.0,33.0,74.0,71.0,24.0,ENG,England,UEFA,https://countryflagsapi.com/png/england
France,32.0,25.0,29.0,29.0,41.0,59.0,44.0,24.0,34.0,18.0,37.0,65.0,68.0,51.0,41.0,81.0,48.0,55.0,34.0,84.0,85.0,30.0,FRA,France,UEFA,https://countryflagsapi.com/png/france
German DR,32.0,25.0,29.0,29.0,41.0,59.0,44.0,24.0,34.0,23.0,37.0,65.0,68.0,51.0,41.0,81.0,48.0,55.0,34.0,84.0,85.0,30.0,,,,
Germany,32.0,36.0,32.0,29.0,66.0,71.0,48.0,39.0,51.0,36.0,47.0,77.0,76.0,66.0,50.0,89.0,62.0,69.0,50.0,102.0,87.0,32.0,GER,Germany,UEFA,https://countryflagsapi.com/png/germany
Ghana,32.0,36.0,32.0,29.0,66.0,71.0,48.0,39.0,51.0,36.0,47.0,77.0,76.0,66.0,50.0,89.0,62.0,73.0,55.0,106.0,87.0,34.0,GHA,Ghana,CAF,https://countryflagsapi.com/png/ghana
Greece,32.0,36.0,32.0,29.0,66.0,71.0,48.0,39.0,51.0,36.0,47.0,77.0,76.0,66.0,50.0,89.0,62.0,73.0,57.0,109.0,87.0,34.0,GRE,Greece,UEFA,https://countryflagsapi.com/png/greece
Haiti,32.0,36.0,32.0,29.0,66.0,71.0,48.0,39.0,51.0,38.0,47.0,77.0,76.0,66.0,50.0,89.0,62.0,73.0,57.0,109.0,87.0,34.0,HAI,Haiti,CONCACF,https://countryflagsapi.com/png/haiti
